date,open,high,low,close,vol,amount
2002-05-09,-0.56,-0.53,-0.65,-0.64,6991497.0,170588256.0
2002-05-10,-0.65,-0.65,-0.67,-0.66,3727296.0,83631544.0
2002-05-13,-0.67,-0.66,-0.68,-0.67,1791469.0,39512276.0
2002-05-14,-0.67,-0.65,-0.67,-0.66,1529424.0,34643772.0
2002-05-15,-0.67,-0.66,-0.69,-0.69,1204169.0,26308866.0
2002-05-16,-0.69,-0.68,-0.7,-0.69,673287.0,14521428.0
2002-05-17,-0.69,-0.68,-0.7,-0.69,716011.0,15295216.0
2002-05-20,-0.69,-0.68,-0.7,-0.69,546095.0,11675811.0
2002-05-21,-0.69,-0.67,-0.69,-0.68,763891.0,16815184.0
2002-05-22,-0.67,-0.67,-0.68,-0.68,412907.0,8994573.0
2002-05-23,-0.68,-0.65,-0.68,-0.67,1379663.0,30914622.0
2002-05-24,-0.67,-0.67,-0.68,-0.67,342700.0,7508800.0
2002-05-27,-0.67,-0.67,-0.68,-0.67,173297.0,3828898.0
2002-05-28,-0.67,-0.67,-0.68,-0.68,157900.0,3493212.0
2002-05-29,-0.68,-0.68,-0.7,-0.7,326098.0,6929247.0
2002-05-30,-0.7,-0.7,-0.72,-0.71,269945.0,5608127.0
2002-05-31,-0.72,-0.71,-0.72,-0.72,155540.0,3204276.0
2002-06-03,-0.72,-0.72,-0.74,-0.74,287146.0,5716192.0
2002-06-04,-0.75,-0.73,-0.75,-0.74,370340.0,7375275.0
2002-06-05,-0.75,-0.74,-0.76,-0.76,208499.0,4041214.0
2002-06-06,-0.76,-0.72,-0.77,-0.74,485334.0,9393330.0
2002-06-07,-0.74,-0.72,-0.74,-0.73,533254.0,10706594.0
2002-06-10,-0.73,-0.72,-0.74,-0.73,221090.0,4427088.0
2002-06-11,-0.73,-0.72,-0.74,-0.73,228980.0,4647632.0
2002-06-12,-0.73,-0.72,-0.74,-0.72,96120.0,1922504.0
2002-06-13,-0.73,-0.72,-0.74,-0.73,109400.0,2185751.0
2002-06-14,-0.73,-0.73,-0.74,-0.73,80500.0,1603255.0
2002-06-17,-0.73,-0.73,-0.74,-0.73,212200.0,4246637.0
2002-06-18,-0.73,-0.72,-0.73,-0.72,280200.0,5702006.0
2002-06-19,-0.72,-0.72,-0.73,-0.73,92400.0,1872666.0
2002-06-20,-0.72,-0.72,-0.73,-0.73,66000.0,1327532.0
2002-06-24,-0.67,-0.67,-0.69,-0.67,1454800.0,32035044.0
2002-06-25,-0.66,-0.66,-0.68,-0.68,837100.0,18403400.0
2002-06-26,-0.68,-0.67,-0.69,-0.68,410100.0,8946387.0
2002-06-27,-0.67,-0.66,-0.68,-0.67,840500.0,18650106.0
2002-06-28,-0.67,-0.67,-0.68,-0.67,342400.0,7484526.0
2002-07-01,-0.67,-0.67,-0.68,-0.68,171700.0,3754177.0
2002-07-02,-0.68,-0.68,-0.68,-0.68,137100.0,2989310.0
2002-07-03,-0.68,-0.67,-0.68,-0.68,123700.0,2710558.0
2002-07-04,-0.68,-0.68,-0.69,-0.68,209200.0,4523090.0
2002-07-05,-0.68,-0.67,-0.69,-0.67,341400.0,7481779.0
2002-07-08,-0.67,-0.67,-0.68,-0.67,334900.0,7406987.0
2002-07-09,-0.67,-0.67,-0.68,-0.67,475500.0,10535175.0
2002-07-10,-0.67,-0.66,-0.67,-0.67,712600.0,15838676.0
2002-07-11,-0.67,-0.66,-0.67,-0.67,702300.0,15635748.0
2002-07-12,-0.67,-0.67,-0.68,-0.68,484700.0,10737685.0
2002-07-15,-0.68,-0.68,-0.69,-0.68,246200.0,5350753.0
2002-07-16,-0.68,-0.67,-0.69,-0.68,148700.0,3242231.0
2002-07-17,-0.68,-0.68,-0.69,-0.68,74700.0,1621320.0
2002-07-18,-0.68,-0.68,-0.69,-0.68,84400.0,1828078.0
2002-07-19,-0.68,-0.68,-0.69,-0.68,71100.0,1544748.0
2002-07-22,-0.68,-0.68,-0.72,-0.7,187800.0,3996186.0
2002-07-23,-0.7,-0.7,-0.72,-0.71,86900.0,1803086.0
2002-07-24,-0.71,-0.71,-0.72,-0.72,67900.0,1394487.0
2002-07-25,-0.72,-0.71,-0.72,-0.72,47900.0,986937.0
2002-07-26,-0.71,-0.71,-0.72,-0.71,34900.0,718962.0
2002-07-29,-0.71,-0.7,-0.72,-0.71,46030.0,950455.0
2002-07-30,-0.71,-0.71,-0.72,-0.72,30760.0,636161.0
2002-07-31,-0.72,-0.72,-0.73,-0.73,88700.0,1795990.0
2002-08-01,-0.73,-0.73,-0.74,-0.73,75583.0,1512223.0
2002-08-02,-0.73,-0.72,-0.73,-0.73,48730.0,981544.0
2002-08-05,-0.73,-0.72,-0.74,-0.73,76650.0,1533042.0
2002-08-06,-0.74,-0.72,-0.74,-0.73,54600.0,1101304.0
2002-08-07,-0.73,-0.72,-0.73,-0.72,63030.0,1271430.0
2002-08-08,-0.73,-0.72,-0.73,-0.72,63650.0,1286850.0
2002-08-09,-0.72,-0.72,-0.74,-0.73,51050.0,1022120.0
2002-08-12,-0.74,-0.73,-0.74,-0.73,26424.0,526127.0
2002-08-13,-0.73,-0.72,-0.74,-0.73,28300.0,564352.0
2002-08-14,-0.73,-0.73,-0.74,-0.73,10800.0,215689.0
2002-08-15,-0.74,-0.73,-0.74,-0.74,26184.0,521916.0
2002-08-16,-0.74,-0.73,-0.74,-0.73,24300.0,484717.0
2002-08-19,-0.73,-0.73,-0.74,-0.73,11600.0,232146.0
2002-08-20,-0.73,-0.72,-0.73,-0.72,131240.0,2644025.0
